epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1162.13,1.4979,0.98,1.1623,0.72363,0.64912,0.88644,0.43373,1.62661,1.23907,1.34364,0.00106589,0.00106589,0.00106589
79,1178.47,1.4377,0.96394,1.12611,0.72363,0.64912,0.88644,0.43373,1.62661,1.23907,1.34364,0.00106118,0.00106118,0.00106118
80,1192.82,1.43196,0.95791,1.13564,0.70764,0.64912,0.9139,0.49084,1.5127,1.13558,1.29629,0.00105646,0.00105646,0.00105646
81,1206.92,1.47886,1.03241,1.25999,0.70764,0.64912,0.9139,0.49084,1.5127,1.13558,1.29629,0.00105174,0.00105174,0.00105174
82,1223.44,1.37333,0.92795,1.1705,0.71892,0.64912,0.90524,0.49605,1.53859,1.139,1.30667,0.00104703,0.00104703,0.00104703
83,1240.27,1.42853,0.88595,1.21947,0.71892,0.64912,0.90524,0.49605,1.53859,1.139,1.30667,0.00104231,0.00104231,0.00104231
84,1257.53,1.3307,0.9188,1.15776,0.76127,0.56491,0.75655,0.37926,1.73762,1.15894,1.42348,0.0010376,0.0010376,0.0010376
85,1275.06,1.48775,0.97164,1.21522,0.76127,0.56491,0.75655,0.37926,1.73762,1.15894,1.42348,0.00103288,0.00103288,0.00103288
86,1292.31,1.47631,1.04902,1.19079,0.82304,0.66414,0.87436,0.40927,1.68297,1.15174,1.38451,0.00102817,0.00102817,0.00102817
87,1309.44,1.4015,1.01681,1.20553,0.82304,0.66414,0.87436,0.40927,1.68297,1.15174,1.38451,0.00102345,0.00102345,0.00102345
88,1325.66,1.41983,0.96026,1.17217,0.81239,0.66667,0.89959,0.52156,1.51358,1.13952,1.28092,0.00101873,0.00101873,0.00101873
89,1340.43,1.40574,0.95908,1.17983,0.81239,0.66667,0.89959,0.52156,1.51358,1.13952,1.28092,0.00101402,0.00101402,0.00101402
90,1355.78,1.34875,0.90336,1.11369,0.84551,0.66549,0.89101,0.52303,1.50696,1.11815,1.27363,0.0010093,0.0010093,0.0010093
91,1370.99,1.37646,0.8988,1.19265,0.84551,0.66549,0.89101,0.52303,1.50696,1.11815,1.27363,0.00100459,0.00100459,0.00100459
92,1386.87,1.37644,0.91124,1.13476,0.57046,0.88889,0.91198,0.47134,1.63257,1.06804,1.31689,0.000999871,0.000999871,0.000999871
93,1400.77,1.42014,0.99605,1.24547,0.57046,0.88889,0.91198,0.47134,1.63257,1.06804,1.31689,0.000995156,0.000995156,0.000995156
94,1416.55,1.4213,0.94019,1.17253,0.61931,0.88889,0.94101,0.47232,1.72737,1.02909,1.35557,0.00099044,0.00099044,0.00099044
95,1431.21,1.40865,0.8892,1.17928,0.61931,0.88889,0.94101,0.47232,1.72737,1.02909,1.35557,0.000985724,0.000985724,0.000985724
96,1446.25,1.41673,1.02033,1.15971,0.66214,0.88889,0.95275,0.50463,1.70005,0.98523,1.33052,0.000981008,0.000981008,0.000981008
97,1460.21,1.36461,0.91477,1.26001,0.66214,0.88889,0.95275,0.50463,1.70005,0.98523,1.33052,0.000976293,0.000976293,0.000976293
98,1476.12,1.41559,0.96699,1.13934,0.65621,0.88889,0.94342,0.49461,1.68929,1.00235,1.33372,0.000971577,0.000971577,0.000971577
99,1490.71,1.32401,0.88393,1.15178,0.65621,0.88889,0.94342,0.49461,1.68929,1.00235,1.33372,0.000966861,0.000966861,0.000966861
100,1504.88,1.28282,0.86791,1.15385,0.71397,0.81645,0.87935,0.44767,1.72877,1.05916,1.3651,0.000962146,0.000962146,0.000962146
101,1519.76,1.42926,0.90456,1.15089,0.71397,0.81645,0.87935,0.44767,1.72877,1.05916,1.3651,0.00095743,0.00095743,0.00095743
102,1535.27,1.43303,0.93872,1.12712,0.85727,0.64912,0.86337,0.47649,1.57788,1.06187,1.29871,0.000952714,0.000952714,0.000952714
103,1551.65,1.44627,0.91268,1.13845,0.85727,0.64912,0.86337,0.47649,1.57788,1.06187,1.29871,0.000947999,0.000947999,0.000947999
104,1566.58,1.40335,0.89076,1.13956,0.85084,0.65464,0.92602,0.51933,1.49875,1.03616,1.26177,0.000943283,0.000943283,0.000943283
105,1581.47,1.34424,0.89071,1.11564,0.85084,0.65464,0.92602,0.51933,1.49875,1.03616,1.26177,0.000938567,0.000938567,0.000938567
106,1596.01,1.39318,0.88425,1.12934,0.85624,0.64103,0.91112,0.47923,1.60762,1.0575,1.30389,0.000933851,0.000933851,0.000933851
107,1610.81,1.34215,0.84813,1.10956,0.85624,0.64103,0.91112,0.47923,1.60762,1.0575,1.30389,0.000929136,0.000929136,0.000929136
108,1625.67,1.34458,0.83497,1.10288,0.85559,0.64783,0.82602,0.39925,1.69261,1.05817,1.36091,0.00092442,0.00092442,0.00092442
109,1640.05,1.32681,0.86089,1.14665,0.85559,0.64783,0.82602,0.39925,1.69261,1.05817,1.36091,0.000919704,0.000919704,0.000919704
110,1654.45,1.41491,0.88762,1.1549,0.85469,0.64874,0.86161,0.42946,1.65627,1.0312,1.35584,0.000914989,0.000914989,0.000914989
111,1669.92,1.43635,0.92057,1.15997,0.85469,0.64874,0.86161,0.42946,1.65627,1.0312,1.35584,0.000910273,0.000910273,0.000910273
112,1684.75,1.31885,0.84375,1.13329,0.75593,0.66667,0.95561,0.53272,1.57544,1.02533,1.30311,0.000905557,0.000905557,0.000905557
113,1699.66,1.22856,0.8358,1.11138,0.75593,0.66667,0.95561,0.53272,1.57544,1.02533,1.30311,0.000900842,0.000900842,0.000900842
114,1714.27,1.35334,0.83851,1.10288,0.7648,0.66667,0.95736,0.54886,1.55274,1.04228,1.27602,0.000896126,0.000896126,0.000896126
115,1729.65,1.34633,0.84929,1.09481,0.7648,0.66667,0.95736,0.54886,1.55274,1.04228,1.27602,0.00089141,0.00089141,0.00089141
116,1746.65,1.29535,0.85546,1.08372,0.74198,0.66667,0.96805,0.56592,1.61354,1.02857,1.29695,0.000886694,0.000886694,0.000886694
117,1760.86,1.30589,0.81477,1.1018,0.74198,0.66667,0.96805,0.56592,1.61354,1.02857,1.29695,0.000881979,0.000881979,0.000881979
118,1774.68,1.26469,0.7888,1.08629,0.71449,0.78018,0.95234,0.56666,1.57817,0.99604,1.28946,0.000877263,0.000877263,0.000877263
119,1788.29,1.28651,0.8069,1.09824,0.71449,0.78018,0.95234,0.56666,1.57817,0.99604,1.28946,0.000872547,0.000872547,0.000872547
120,1801.58,1.27607,0.82223,1.16473,0.73892,0.93679,0.93842,0.59818,1.5003,0.92796,1.2909,0.000867832,0.000867832,0.000867832
121,1815.41,1.30844,0.7994,1.10639,0.73892,0.93679,0.93842,0.59818,1.5003,0.92796,1.2909,0.000863116,0.000863116,0.000863116
122,1828.83,1.3113,0.85811,1.17384,0.69893,0.96491,0.93104,0.53977,1.52771,0.97239,1.33197,0.0008584,0.0008584,0.0008584
123,1841.98,1.30387,0.86134,1.13443,0.69893,0.96491,0.93104,0.53977,1.52771,0.97239,1.33197,0.000853685,0.000853685,0.000853685
124,1855.47,1.35003,0.87522,1.13419,0.68215,0.63158,0.91843,0.51915,1.6078,1.02717,1.37392,0.000848969,0.000848969,0.000848969
125,1868.86,1.30169,0.85207,1.12827,0.68215,0.63158,0.91843,0.51915,1.6078,1.02717,1.37392,0.000844253,0.000844253,0.000844253
126,1882.76,1.28107,0.87608,1.14859,0.86049,0.61274,0.93394,0.50124,1.65686,1.05968,1.37447,0.000839537,0.000839537,0.000839537
127,1897.45,1.26825,0.84196,1.0732,0.86049,0.61274,0.93394,0.50124,1.65686,1.05968,1.37447,0.000834822,0.000834822,0.000834822
128,1914.31,1.35936,0.87195,1.09494,0.84978,0.61404,0.93195,0.51085,1.62245,1.03473,1.34769,0.000830106,0.000830106,0.000830106
129,1929.22,1.27822,0.87612,1.1739,0.84978,0.61404,0.93195,0.51085,1.62245,1.03473,1.34769,0.00082539,0.00082539,0.00082539
130,1944.52,1.31184,0.87369,1.06753,0.8315,0.62171,0.92998,0.51302,1.59329,1.07858,1.34484,0.000820675,0.000820675,0.000820675
131,1958.94,1.23566,0.79947,1.10904,0.8315,0.62171,0.92998,0.51302,1.59329,1.07858,1.34484,0.000815959,0.000815959,0.000815959
132,1975.99,1.35764,0.84176,1.0944,0.80262,0.63158,0.89694,0.46796,1.67027,1.10905,1.39955,0.000811243,0.000811243,0.000811243
133,1991.31,1.26714,0.83256,1.10592,0.80262,0.63158,0.89694,0.46796,1.67027,1.10905,1.39955,0.000806528,0.000806528,0.000806528
134,2005.46,1.27294,0.82321,1.09692,0.69082,0.66667,0.8764,0.44458,1.65463,1.12777,1.41348,0.000801812,0.000801812,0.000801812
135,2020.37,1.24291,0.79314,1.10675,0.69082,0.66667,0.8764,0.44458,1.65463,1.12777,1.41348,0.000797096,0.000797096,0.000797096
136,2035.26,1.26911,0.79205,1.11644,0.684,0.84116,0.89846,0.47196,1.60659,1.07345,1.38937,0.00079238,0.00079238,0.00079238
137,2050.32,1.2672,0.81184,1.08443,0.684,0.84116,0.89846,0.47196,1.60659,1.07345,1.38937,0.000787665,0.000787665,0.000787665
138,2065.25,1.33139,0.86934,1.11789,0.67472,0.92651,0.92946,0.51662,1.57606,1.0441,1.36416,0.000782949,0.000782949,0.000782949
139,2080.25,1.24092,0.7967,1.14086,0.67472,0.92651,0.92946,0.51662,1.57606,1.0441,1.36416,0.000778233,0.000778233,0.000778233
140,2095.24,1.20333,0.75816,1.049,0.67334,0.94609,0.92524,0.49251,1.68741,1.04397,1.42615,0.000773518,0.000773518,0.000773518
141,2109.3,1.19391,0.76523,1.10146,0.67334,0.94609,0.92524,0.49251,1.68741,1.04397,1.42615,0.000768802,0.000768802,0.000768802
142,2123.4,1.15449,0.7349,1.0587,0.6918,0.90869,0.91474,0.4744,1.72941,1.071,1.4439,0.000764086,0.000764086,0.000764086
143,2139.15,1.25124,0.79887,1.08992,0.6918,0.90869,0.91474,0.4744,1.72941,1.071,1.4439,0.000759371,0.000759371,0.000759371
144,2153.28,1.2035,0.7876,1.09079,0.7192,0.83377,0.9062,0.48187,1.65857,1.08512,1.39421,0.000754655,0.000754655,0.000754655
145,2168.19,1.25868,0.78288,1.06355,0.7192,0.83377,0.9062,0.48187,1.65857,1.08512,1.39421,0.000749939,0.000749939,0.000749939
146,2183.14,1.18383,0.75894,1.06924,0.74571,0.78963,0.83399,0.45679,1.61848,1.09695,1.361,0.000745223,0.000745223,0.000745223
147,2198.43,1.18489,0.81146,1.05379,0.74571,0.78963,0.83399,0.45679,1.61848,1.09695,1.361,0.000740508,0.000740508,0.000740508
148,2212.67,1.23851,0.82264,1.09106,0.73053,0.77778,0.77615,0.39776,1.69818,1.1346,1.38963,0.000735792,0.000735792,0.000735792
149,2228.2,1.27884,0.83487,1.04437,0.73053,0.77778,0.77615,0.39776,1.69818,1.1346,1.38963,0.000731076,0.000731076,0.000731076
150,2243.74,1.20071,0.75909,1.07184,0.70719,0.77778,0.7905,0.42418,1.67363,1.11211,1.35767,0.000726361,0.000726361,0.000726361
151,2259.59,1.22333,0.81394,1.07829,0.70719,0.77778,0.7905,0.42418,1.67363,1.11211,1.35767,0.000721645,0.000721645,0.000721645
152,2275.12,1.23235,0.81789,1.06544,0.69727,0.81447,0.84437,0.5018,1.57271,1.06574,1.3072,0.000716929,0.000716929,0.000716929
